row,timestamp,time delta,Step,Learning_Rate,Loss,Reconstruction_Loss,Cycle_Consistency...,Motion_Linearity_...
155,2019-04-14 16:03:13.447053,14.104402304,1549,1.000000000e-04,1.071891566e-02,1.071891566e-02,6.032746634e-03,5.590517569e-04
156,2019-04-14 16:03:27.552985,14.105913639,1559,1.000000000e-04,1.042270209e-02,1.042270209e-02,5.945221800e-03,6.476607377e-04
157,2019-04-14 16:03:41.641836,14.088833332,1569,1.000000000e-04,1.059304578e-02,1.059304578e-02,6.113770977e-03,5.322832440e-04
158,2019-04-14 16:03:55.762932,14.121088266,1579,1.000000000e-04,1.131703029e-02,1.131703029e-02,6.671572779e-03,4.070152019e-04
159,2019-04-14 16:04:09.858371,14.095432043,1589,1.000000000e-04,1.171001438e-02,1.171001438e-02,6.796759041e-03,4.352286662e-04
160,2019-04-14 16:04:23.920078,14.061710835,1599,1.000000000e-04,1.124421684e-02,1.124421684e-02,6.573063927e-03,5.845991807e-04
161,2019-04-14 16:04:38.000873,14.080955744,1609,1.000000000e-04,1.299149473e-02,1.299149473e-02,7.396920235e-03,5.142990383e-04
162,2019-04-14 16:04:52.088552,14.087597847,1619,1.000000000e-04,1.037145196e-02,1.037145196e-02,6.013847678e-03,6.995620584e-04
163,2019-04-14 16:05:06.186855,14.098216772,1629,1.000000000e-04,1.002200702e-02,1.002200702e-02,5.886295717e-03,1.078309183e-03
164,2019-04-14 16:05:20.315997,14.129180193,1639,1.000000000e-04,1.092348415e-02,1.092348415e-02,6.302911998e-03,8.439218975e-04
165,2019-04-14 16:05:34.392901,14.076858521,1649,1.000000000e-04,1.056061233e-02,1.056061233e-02,6.011552550e-03,5.019916731e-04
166,2019-04-14 16:05:48.473936,14.081035614,1659,1.000000000e-04,8.890075190e-03,8.890075190e-03,5.116243172e-03,6.274656655e-04
167,2019-04-14 16:06:02.559752,14.085808516,1669,1.000000000e-04,1.058745827e-02,1.058745827e-02,6.013794709e-03,7.802215376e-04
168,2019-04-14 16:06:16.667787,14.108035088,1679,1.000000000e-04,1.019484894e-02,1.019484894e-02,6.111350702e-03,7.503502071e-04
169,2019-04-14 16:06:30.745602,14.077800274,1689,1.000000000e-04,1.000276855e-02,1.000276855e-02,5.841087550e-03,6.671291223e-04
170,2019-04-14 16:06:44.817795,14.072202921,1699,1.000000000e-04,1.205163244e-02,1.205163244e-02,7.084718021e-03,8.150471520e-04
171,2019-04-14 16:06:58.906643,14.088840485,1709,1.000000000e-04,9.465666395e-03,9.465666395e-03,5.676341453e-03,6.706851360e-04
172,2019-04-14 16:07:13.006826,14.100330830,1719,1.000000000e-04,1.051140018e-02,1.051140018e-02,6.146147824e-03,6.302453083e-04
173,2019-04-14 16:07:27.085547,14.078606606,1729,1.000000000e-04,1.513167983e-02,1.513167983e-02,8.734504506e-03,4.832748920e-04
174,2019-04-14 16:07:41.155570,14.070032597,1739,1.000000000e-04,1.143348543e-02,1.143348543e-02,6.435277173e-03,6.492540284e-04
175,2019-04-14 16:07:55.268309,14.112715244,1749,1.000000000e-04,1.027728375e-02,1.027728375e-02,5.930225481e-03,5.724214483e-04
176,2019-04-14 16:08:09.355908,14.087572098,1759,1.000000000e-04,1.069670324e-02,1.069670324e-02,6.157780834e-03,5.092617183e-04
177,2019-04-14 16:08:23.425649,14.069734097,1769,1.000000000e-04,1.084819692e-02,1.084819692e-02,6.125507434e-03,8.050256147e-04
178,2019-04-14 16:08:37.528727,14.103077412,1779,1.000000000e-04,1.196531937e-02,1.196531937e-02,7.346114586e-03,1.364563714e-03
179,2019-04-14 16:08:51.622294,14.093570471,1789,1.000000000e-04,9.587258520e-03,9.587258520e-03,5.855092895e-03,1.242182136e-03
180,2019-04-14 16:09:05.723889,14.101589918,1799,1.000000000e-04,1.205714131e-02,1.205714131e-02,6.928119110e-03,9.225766815e-04
181,2019-04-14 16:09:19.836543,14.112652302,1809,1.000000000e-04,1.081493371e-02,1.081493371e-02,6.305324170e-03,7.217975974e-04
182,2019-04-14 16:09:33.932190,14.095646381,1819,1.000000000e-04,1.125360765e-02,1.125360765e-02,6.442881888e-03,8.117671736e-04
183,2019-04-14 16:09:48.049464,14.117371082,1829,1.000000000e-04,1.070206056e-02,1.070206056e-02,6.180450320e-03,8.380862011e-04
184,2019-04-14 16:10:02.158782,14.109274626,1839,1.000000000e-04,1.041507716e-02,1.041507716e-02,6.252679089e-03,8.554798609e-04
185,2019-04-14 16:10:16.229804,14.070982695,1849,1.000000000e-04,1.157809631e-02,1.157809631e-02,6.760331756e-03,1.020683663e-03
186,2019-04-14 16:10:30.321094,14.091325521,1859,1.000000000e-04,1.246041558e-02,1.246041558e-02,7.105827052e-03,9.992914274e-04
187,2019-04-14 16:10:44.413715,14.092558384,1869,1.000000000e-04,1.025733287e-02,1.025733287e-02,5.893060402e-03,8.728706511e-04
188,2019-04-14 16:10:58.489113,14.075406551,1879,1.000000000e-04,1.352706207e-02,1.352706207e-02,7.834082609e-03,7.300338970e-04
189,2019-04-14 16:11:12.577239,14.088111401,1889,1.000000000e-04,9.960507834e-03,9.960507834e-03,5.905088130e-03,7.406144461e-04
190,2019-04-14 16:11:26.624576,14.047335863,1899,1.000000000e-04,1.146641448e-02,1.146641448e-02,6.638366589e-03,6.115973199e-04
